To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station,AQI,AQI Category
09-09-2021 00:00,4.15,0.21,29.0,6.37,21.05,8.03,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",36.0,Good
10-09-2021 00:00,3.76,0.26,32.94,11.75,41.11,11.62,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",41.0,Good
11-09-2021 00:00,4.05,0.28,33.78,11.91,49.28,14.96,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",49.0,Good
12-09-2021 00:00,4.02,0.16,23.15,9.83,31.36,8.93,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",31.0,Good
13-09-2021 00:00,3.96,0.18,25.7,8.87,25.4,7.91,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",32.0,Good
14-09-2021 00:00,4.09,0.18,15.84,8.93,18.13,4.53,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",20.0,Good
15-09-2021 00:00,3.83,0.15,18.19,9.56,17.73,5.55,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",23.0,Good
16-09-2021 00:00,4.0,0.62,15.57,10.3,75.06,18.8,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",75.0,Moderate
17-09-2021 00:00,2.08,0.47,20.93,10.51,76.05,19.9,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",76.0,Moderate
18-09-2021 00:00,1.69,0.47,18.89,14.3,80.49,19.11,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",80.0,Moderate
19-09-2021 00:00,2.28,0.52,24.47,19.95,99.93,31.09,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",100.0,Moderate
20-09-2021 00:00,2.69,0.61,11.85,20.88,84.41,29.52,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",84.0,Moderate
21-09-2021 00:00,2.22,0.53,13.0,16.01,45.81,18.85,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",46.0,Good
